Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/async,3361,0,44,45.79975403838143,29.421040999999093,236.12870900000016,101.0,56.78654744296872,0.0,44,46,48,49,53,58,77,94,230,240,240
,Aggregated,3361,0,44,45.79975403838143,29.421040999999093,236.12870900000016,101.0,56.78654744296872,0.0,44,46,48,49,53,58,77,94,230,240,240
