Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/async,3324,0,52,54.737952632671515,33.80200000000144,269.83520800000014,101.0,56.12122703656462,0.0,52,55,57,58,64,74,98,120,260,270,270
,Aggregated,3324,0,52,54.737952632671515,33.80200000000144,269.83520800000014,101.0,56.12122703656462,0.0,52,55,57,58,64,74,98,120,260,270,270
