Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/sync,60,59,15000.0,15032.788769450002,13925.686666999998,15063.943415999998,3.1166666666666667,1.2793556630566616,1.258033068672384,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
,Aggregated,60,59,15000.0,15032.788769450002,13925.686666999998,15063.943415999998,3.1166666666666667,1.2793556630566616,1.258033068672384,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
