Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/async,3310,0,45,48.09604073051367,31.55637500000097,344.2264169999998,101.0,56.89592814889201,0.0,45,48,50,51,55,63,86,100,340,340,340
,Aggregated,3310,0,45,48.09604073051367,31.55637500000097,344.2264169999998,101.0,56.89592814889201,0.0,45,48,50,51,55,63,86,100,340,340,340
